"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.86642468892184e-11,1.32239603334254,0.669,0.638,1.29672151217061e-06,"Macrophage","NFKBIZ"
1.07602208542281e-11,1.32107876668079,0.709,0.704,3.60876287009101e-07,"Macrophage","DDX3X"
5.47278189500389e-09,1.2875071156872,0.595,0.546,0.000183546159194641,"Macrophage","BTG2"
2.51914579420351e-41,1.27923528636938,0.977,0.968,8.44871116459974e-37,"Macrophage","MT-ND2"
2.71940812414116e-20,1.25740930626916,0.776,0.747,9.12035096674462e-16,"Macrophage","XIST"
3.54156763106377e-13,1.23592720870373,0.686,0.674,1.18777095210617e-08,"Macrophage","TRA2B"
4.45786859790072e-13,1.22644684839963,0.649,0.59,1.49507997036394e-08,"Macrophage","STAB1"
6.59887778918652e-17,1.21313019459539,0.769,0.681,2.21313163293737e-12,"Macrophage","EGR1"
4.93365211785056e-30,1.20067807665411,0.836,0.769,1.65464824728472e-25,"Macrophage","CCNL1"
2.56691564997391e-11,1.18088169548413,0.642,0.627,8.60892170688249e-07,"Macrophage","CLK1"
1.59064182120107e-17,1.16308056683267,0.783,0.757,5.33469453994416e-13,"Macrophage","HNRNPU"
4.72001932962177e-42,1.14005534371361,0.98,0.868,1.58300008276855e-37,"Macrophage","NEAT1"
2.66073582572336e-15,1.13644109595357,0.799,0.779,8.92357581231102e-11,"Macrophage","MAFB"
5.40295378921647e-26,1.13544585240503,0.886,0.809,1.81204264182742e-21,"Macrophage","FOS"
1.27528966943492e-29,1.12290900510758,0.953,0.935,4.27706649335082e-25,"Macrophage","MT-ND5"
1.48964304440047e-07,1.10761437022324,0.632,0.632,0.00499596484231031,"Macrophage","IFRD1"
1.4808049856004e-20,1.09941194392154,0.86,0.794,4.96632376070661e-16,"Macrophage","IER2"
3.22895258794995e-54,6.44406001155124,0.257,0.007,1.08292611894666e-49,"Proliferating_myeloid","RASGEF1C"
7.11371574414977e-54,3.60574073234738,0.283,0.012,2.38579798627295e-49,"Proliferating_myeloid","GNLY"
5.88785141297562e-69,3.45596361028532,0.429,0.033,1.97466760688377e-64,"Proliferating_myeloid","NUAK1"
4.52425583043763e-91,3.41353674068175,0.482,0.022,1.51734492041217e-86,"Proliferating_myeloid","MCF2L"
6.76646495181424e-50,3.17071589367307,0.262,0.011,2.26933701553946e-45,"Proliferating_myeloid","ADAMTSL2"
4.15749067574963e-46,3.12109655617656,0.393,0.054,1.39433922283291e-41,"Proliferating_myeloid","TNFAIP8L3"
8.35416836377577e-40,3.06521604779484,0.262,0.021,2.80182098584312e-35,"Proliferating_myeloid","C12orf75"
8.36584232496747e-39,3.02692346811778,0.272,0.026,2.80573619894759e-34,"Proliferating_myeloid","RAMP1"
5.56902994347163e-78,2.9953329553126,0.665,0.105,1.86774126244151e-73,"Proliferating_myeloid","RGS16"
1.10718349790848e-56,2.92299789852497,0.351,0.025,3.71327201528545e-52,"Proliferating_myeloid","CX3CR1"
2.3856492967966e-77,2.88804409446089,0.45,0.027,8.00099061159644e-73,"Proliferating_myeloid","ADGRG1"
6.52731604220947e-26,2.83480623090919,0.272,0.049,2.18913125423621e-21,"Proliferating_myeloid","ARG2"
9.86110508347463e-58,2.80243653186986,0.539,0.089,3.30721742289572e-53,"Proliferating_myeloid","SPATA13"
1.49915640180125e-34,2.79383461338914,0.288,0.037,5.02787074036104e-30,"Proliferating_myeloid","RTTN"
1.72623965713857e-24,2.7737770631508,0.403,0.123,5.78946256211134e-20,"Proliferating_myeloid","CSF1"
2.31507504847207e-66,2.63728342751549,0.607,0.103,7.76429869756564e-62,"Proliferating_myeloid","SOCS6"
1.58190171059262e-62,2.58112231692436,0.728,0.174,5.30538195698553e-58,"Proliferating_myeloid","CH25H"
1.12612758031222e-68,2.54962619583091,0.607,0.095,3.77680667885114e-64,"Proliferating_myeloid","SCIN"
3.4407258551729e-34,2.51976718903303,0.628,0.232,1.15395063730789e-29,"Proliferating_myeloid","SERPINE1"
3.30338873540943e-59,2.46454696956587,0.419,0.04,1.10789051408161e-54,"Proliferating_myeloid","TMEM119"
5.3327325314065e-26,2.42556740951594,0.283,0.051,1.78849183638311e-21,"Proliferating_myeloid","NEU4"
3.10607048360543e-53,2.4025438093807,0.508,0.083,1.04171391879159e-48,"Proliferating_myeloid","PDGFA"
2.93508211095905e-31,2.35734629596247,0.298,0.046,9.84367838373445e-27,"Proliferating_myeloid","TLN2"
2.97590910665029e-28,2.33834381236767,0.251,0.035,9.98060396188374e-24,"Proliferating_myeloid","SUSD3"
6.90913569063071e-21,2.30667308234559,0.351,0.104,2.31718592792373e-16,"Proliferating_myeloid","SRGAP2B"
