"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
1.91131899411389e-227,9.26516430323368,0.205,0.002,6.41018164245915e-223,"MRGPRF","FDR<0.01 & |log2FC|>1",226.718666824289,226.718666824289
5.57906498282075e-224,9.04910458098962,0.17,0.001,1.87110681393842e-219,"TRPC6","FDR<0.01 & |log2FC|>1",223.253438580064,223.253438580064
2.68438642613331e-223,9.63519048030537,0.166,0,9.00289519596589e-219,"REM1","FDR<0.01 & |log2FC|>1",222.571154965903,222.571154965903
4.63765781743867e-223,4.96447546055396,0.803,0.121,1.55537767881258e-218,"C11orf96","FDR<0.01 & |log2FC|>1",222.333701298277,222.333701298277
4.4180042414682e-221,8.92012203968813,0.179,0.001,1.48171026250361e-216,"PODN","FDR<0.01 & |log2FC|>1",220.354773871524,220.354773871524
7.78876139287602e-219,5.04741187748693,0.358,0.016,2.61219479594276e-214,"ADAMTS2","FDR<0.01 & |log2FC|>1",218.10853160048,218.10853160048
4.00052510279255e-214,5.01813869424894,0.341,0.014,1.34169610897457e-209,"TWIST1","FDR<0.01 & |log2FC|>1",213.397883000103,213.397883000103
8.14507435458918e-214,5.32501075690671,0.441,0.028,2.73169503704212e-209,"LOXL2","FDR<0.01 & |log2FC|>1",213.089104946759,213.089104946759
1.5867121390811e-213,5.3521846016856,0.367,0.018,5.32151517205018e-209,"ANTXR1","FDR<0.01 & |log2FC|>1",212.799501855695,212.799501855695
2.69056976129942e-210,3.82797849598592,0.424,0.025,9.02363286544598e-206,"ESAM","FDR<0.01 & |log2FC|>1",209.570155743051,209.570155743051
7.15484603854565e-205,5.13554210250931,0.328,0.014,2.39959226440744e-200,"SNAI2","FDR<0.01 & |log2FC|>1",204.145399707163,204.145399707163
2.18923894948037e-198,3.77650306457149,0.616,0.067,7.34226958876728e-194,"DLC1","FDR<0.01 & |log2FC|>1",197.659706833783,197.659706833783
1.60430609135447e-197,6.66463615933829,0.166,0.001,5.38052176918461e-193,"MSC-AS1","FDR<0.01 & |log2FC|>1",196.794712767533,196.794712767533
1.61204535688277e-194,5.76179345472722,0.568,0.061,5.40647771791344e-190,"S1PR3","FDR<0.01 & |log2FC|>1",193.792622742949,193.792622742949
9.33268525598861e-192,5.78580443172743,0.38,0.023,3.12999598115346e-187,"CARMN","FDR<0.01 & |log2FC|>1",191.029993380469,191.029993380469
4.22948939978407e-191,10.5213939361755,0.131,0,1.41848615489958e-186,"OR51E1","FDR<0.01 & |log2FC|>1",190.373712059159,190.373712059159
1.68622099133383e-188,4.18534183634934,0.437,0.032,5.65524796073539e-184,"PLAT","FDR<0.01 & |log2FC|>1",187.77308550858,187.77308550858
3.88243943748327e-188,4.27456228940378,0.555,0.058,1.30209253854314e-183,"PRRX1","FDR<0.01 & |log2FC|>1",187.410895310145,187.410895310145
4.62935700083264e-187,3.92758825948655,0.677,0.092,1.55259375093925e-182,"CAVIN1","FDR<0.01 & |log2FC|>1",186.334479326559,186.334479326559
8.23654235758055e-185,5.37667427053355,0.904,0.231,2.76237157588537e-180,"TPM2","FDR<0.01 & |log2FC|>1",184.084255063809,184.084255063809
3.36428164255845e-182,5.89538368700494,0.271,0.01,1.12831277728125e-177,"CYGB","FDR<0.01 & |log2FC|>1",181.473107654168,181.473107654168
5.33355951466912e-182,8.65787102731973,0.175,0.002,1.78876919002973e-177,"LINC00924","FDR<0.01 & |log2FC|>1",181.272982854459,181.272982854459
4.75045984478375e-181,8.32915708073579,0.144,0.001,1.59320922274357e-176,"TRPC4","FDR<0.01 & |log2FC|>1",180.32326434861,180.32326434861
5.36437054160861e-181,7.7195937075277,0.144,0.001,1.7991025922447e-176,"OLFML1","FDR<0.01 & |log2FC|>1",180.270481231078,180.270481231078
1.45000423440863e-179,6.09009081083406,0.183,0.003,4.86302420135968e-175,"AVPR1A","FDR<0.01 & |log2FC|>1",178.838630729505,178.838630729505
3.1583999116525e-179,5.66694110525376,0.349,0.02,1.05926416237001e-174,"KIRREL1","FDR<0.01 & |log2FC|>1",178.500532881159,178.500532881159
4.22618680286078e-179,4.53101565622661,0.507,0.049,1.41737852994345e-174,"RCN3","FDR<0.01 & |log2FC|>1",178.374051310488,178.374051310488
5.3147884760313e-177,3.93041998409698,0.406,0.029,1.78247375909138e-172,"NDN","FDR<0.01 & |log2FC|>1",176.27451401534,176.27451401534
5.22678346991047e-175,5.64561472553791,0.384,0.027,1.75295864013857e-170,"NEXN","FDR<0.01 & |log2FC|>1",174.281765491058,174.281765491058
8.3611771091478e-175,6.6493265164662,0.14,0.001,2.80417157886599e-170,"GRM8","FDR<0.01 & |log2FC|>1",174.077732577104,174.077732577104
1.44031743785724e-174,6.06162448305628,0.227,0.007,4.8305366230856e-170,"ITGA11","FDR<0.01 & |log2FC|>1",173.841541781296,173.841541781296
6.27346683045899e-174,6.07132331040907,0.786,0.166,2.10399530559933e-169,"COL18A1","FDR<0.01 & |log2FC|>1",173.202492393899,173.202492393899
4.09018046735226e-173,4.5967790162705,0.266,0.01,1.3717647251406e-168,"GPR4","FDR<0.01 & |log2FC|>1",172.388257529585,172.388257529585
7.17525588375757e-173,9.03746161265093,0.131,0,2.40643731829461e-168,"SGCA","FDR<0.01 & |log2FC|>1",172.144162606521,172.144162606521
4.02334384263632e-172,10.2040521138215,0.118,0,1.34934905794337e-167,"AC007406.3","FDR<0.01 & |log2FC|>1",171.395412850208,171.395412850208
5.22758458799344e-172,9.45890564515476,0.122,0,1.75322731912124e-167,"HTR1F","FDR<0.01 & |log2FC|>1",171.281698931097,171.281698931097
5.57758118937637e-172,7.24567220582025,0.214,0.006,1.87060917929305e-167,"TBX2-AS1","FDR<0.01 & |log2FC|>1",171.253554099244,171.253554099244
1.80104513859812e-170,5.070784402378,0.297,0.014,6.04034518583038e-166,"BMP2","FDR<0.01 & |log2FC|>1",169.744475402562,169.744475402562
4.11833504809877e-170,9.20750152996331,0.14,0.001,1.38120720843136e-165,"PLN","FDR<0.01 & |log2FC|>1",169.385278324153,169.385278324153
4.37967851065109e-169,4.81831650205638,0.476,0.046,1.46885657890216e-164,"FBN1","FDR<0.01 & |log2FC|>1",168.358557767618,168.358557767618
1.02840718568413e-168,6.74198458052734,0.157,0.002,3.44907201934744e-164,"CA4","FDR<0.01 & |log2FC|>1",167.987834897517,167.987834897517
4.70479302889205e-167,5.50549798156362,0.406,0.033,1.57789348602982e-162,"C1QTNF1","FDR<0.01 & |log2FC|>1",166.327459477101,166.327459477101
1.16855067076334e-163,5.41675115889192,0.162,0.002,3.9190852396061e-159,"CALHM5","FDR<0.01 & |log2FC|>1",162.93235245096,162.93235245096
3.0884927235582e-163,4.75214912340209,0.454,0.043,1.03581868962695e-158,"OLFML2B","FDR<0.01 & |log2FC|>1",162.510253417516,162.510253417516
5.78261463931928e-163,5.50388745651981,0.262,0.011,1.9393732977349e-158,"MAP3K7CL","FDR<0.01 & |log2FC|>1",162.23787574866,162.23787574866
5.33074142833057e-161,3.75285784632142,0.721,0.129,1.78782406023351e-156,"SERPING1","FDR<0.01 & |log2FC|>1",160.273212382748,160.273212382748
6.51409084070442e-161,6.32505548320669,0.41,0.035,2.18469578615545e-156,"COL6A3","FDR<0.01 & |log2FC|>1",160.186146189379,160.186146189379
1.74785560554554e-160,7.19785066803078,0.201,0.005,5.86195812987863e-156,"SULF1","FDR<0.01 & |log2FC|>1",159.757494448306,159.757494448306
4.15436456638326e-160,6.25295119384819,0.472,0.05,1.39329078827362e-155,"SMOC2","FDR<0.01 & |log2FC|>1",159.381495394604,159.381495394604
4.37940290117408e-158,3.69280985870677,0.415,0.036,1.46876414499576e-153,"ANGPT2","FDR<0.01 & |log2FC|>1",157.358585098264,157.358585098264
3.03854725962313e-156,7.97244869074085,0.127,0.001,1.01906797993241e-151,"MFAP4","FDR<0.01 & |log2FC|>1",155.517334004525,155.517334004525
8.87940570341787e-155,4.06288173569157,0.572,0.079,2.97797508481229e-150,"CDH11","FDR<0.01 & |log2FC|>1",154.051616100479,154.051616100479
4.68680515561744e-153,4.74679584084904,0.328,0.021,1.57186071309098e-148,"SGIP1","FDR<0.01 & |log2FC|>1",152.329123101013,152.329123101013
2.06498793797763e-151,5.47978890357217,0.227,0.008,6.92555654638939e-147,"LRRC17","FDR<0.01 & |log2FC|>1",150.685082480804,150.685082480804
4.04139731738098e-151,4.45633987563003,0.581,0.085,1.35540383230323e-146,"LAMB1","FDR<0.01 & |log2FC|>1",150.39346845115,150.39346845115
4.09682906093425e-151,6.49003319396331,0.441,0.046,1.37399453045613e-146,"PDE5A","FDR<0.01 & |log2FC|>1",150.387552156487,150.387552156487
4.04889596878002e-149,4.3336130750657,0.376,0.031,1.35791873000944e-144,"SEMA5A","FDR<0.01 & |log2FC|>1",148.392663381731,148.392663381731
4.97796376934578e-149,3.91992521789118,0.476,0.052,1.66950948896319e-144,"CAV2","FDR<0.01 & |log2FC|>1",148.302948268601,148.302948268601
1.10745326689971e-148,6.68975462537499,0.201,0.006,3.71417676652823e-144,"RERGL","FDR<0.01 & |log2FC|>1",147.955674591386,147.955674591386
2.04196889540449e-147,6.10614469075142,0.284,0.016,6.84835528140759e-143,"PEAR1","FDR<0.01 & |log2FC|>1",146.689950877654,146.689950877654
8.05439194039429e-147,6.00413520863882,0.328,0.023,2.70128196896944e-142,"AGT","FDR<0.01 & |log2FC|>1",146.093967240707,146.093967240707
