"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
8.26542453022877e-122,5.66902346041641,0.533,0.049,2.77205807894813e-117,"IGFBP3","Upregulated"
4.20729107188924e-121,5.65855181053385,0.325,0.016,1.41104127969021e-116,"JCAD","Upregulated"
6.34256118077413e-121,5.98956696866265,0.883,0.18,2.12716816880803e-116,"EGFL7","Upregulated"
4.59040741213601e-120,6.43211287243045,0.8,0.137,1.53953083788217e-115,"HSPG2","Upregulated"
6.03473877122815e-120,5.76589690800734,0.342,0.018,2.0239306890945e-115,"EDNRB","Upregulated"
7.35618626392867e-119,4.1357027131065,0.725,0.099,2.4671177491964e-114,"CAVIN1","Upregulated"
1.33030930131795e-117,6.40084947433329,0.175,0.004,4.46159133476015e-113,"FOXF1","Upregulated"
2.00018817517565e-116,7.03285638888957,0.208,0.006,6.7082311019041e-112,"APLNR","Upregulated"
2.34427597073598e-115,5.35435006412361,0.592,0.066,7.86223275065433e-111,"APOLD1","Upregulated"
8.76752433677468e-115,5.23676891179381,0.533,0.053,2.94045231206749e-110,"ADGRF5","Upregulated"
8.75656905671893e-113,5.34863046484191,0.358,0.022,2.93677813024239e-108,"PROCR","Upregulated"
1.50291983303974e-112,7.45620246497716,0.517,0.05,5.04049253604868e-108,"C2CD4B","Upregulated"
1.61768827929852e-110,4.81639335135398,0.458,0.038,5.42540295111138e-106,"PLAT","Upregulated"
3.44150561995529e-108,4.58887573901478,0.358,0.023,1.1542121548206e-103,"FAM107A","Upregulated"
1.94599908087124e-107,4.04755915002798,0.308,0.016,6.52649171742597e-103,"COX7A1","Upregulated"
6.25288942274504e-107,4.27687167822245,0.617,0.077,2.09709405460023e-102,"DLC1","Upregulated"
2.16560405508198e-106,4.53839265591454,0.65,0.085,7.26300287993395e-102,"THBD","Upregulated"
1.65236075481224e-105,4.41030945153512,0.892,0.213,5.54168749948929e-101,"TCF4","Upregulated"
1.18950586617852e-103,6.79218349919608,0.2,0.006,3.98936477398953e-99,"F2RL3","Upregulated"
6.65559928627006e-103,9.69044061010685,0.083,0,2.23215488862925e-98,"CCL14","Upregulated"
1.87432686875487e-100,5.38341837335979,0.183,0.005,6.28611745243009e-96,"CETP","Upregulated"
2.26048143553509e-100,5.16997291184771,0.55,0.066,7.58120263849758e-96,"PTPRG","Upregulated"
2.280463242932e-98,4.57145355329217,0.458,0.043,7.64821762414534e-94,"PCDH17","Upregulated"
1.43022014328265e-97,7.06774460740887,0.342,0.024,4.79667231654134e-93,"STC1","Upregulated"
4.02575514046902e-97,4.13532336860529,0.225,0.009,1.3501577590105e-92,"FAP","Upregulated"
2.30160225259109e-95,3.18178029277405,0.342,0.023,7.71911363474e-91,"ADGRA2","Upregulated"
4.69540154114621e-94,6.32178064558259,0.183,0.006,1.57474376886962e-89,"CUBN","Upregulated"
1.80422860912981e-92,5.10570165938873,0.267,0.014,6.05102190929955e-88,"RUNX1T1","Upregulated"
3.31739454789607e-92,4.94857384087004,0.225,0.01,1.11258778347339e-87,"GRAP","Upregulated"
5.65261861179443e-92,3.88867098692766,0.4,0.034,1.89577523002362e-87,"CFH","Upregulated"
4.37164238760922e-91,5.66049348899888,0.4,0.036,1.46616142395638e-86,"SYNPO","Upregulated"
3.30114891418671e-90,4.97039051732633,0.808,0.194,1.10713932283994e-85,"ENG","Upregulated"
3.00951940423767e-89,5.39415898787235,0.525,0.068,1.00933261779323e-84,"RASIP1","Upregulated"
5.81946113724772e-89,5.90148968682636,0.392,0.035,1.95173087621014e-84,"CXCL12","Upregulated"
3.61521059290203e-88,3.6290016795045,0.683,0.115,1.21246932864748e-83,"MCAM","Upregulated"
1.05421300900548e-85,5.38608144397275,0.317,0.023,3.53561958960257e-81,"ITIH5","Upregulated"
3.03078743115553e-85,4.94167485708541,0.542,0.075,1.01646548866094e-80,"HEG1","Upregulated"
8.11689976848019e-85,3.38177021094852,0.433,0.043,2.72224584435288e-80,"CAV1","Upregulated"
8.66140017806363e-85,6.74276815178382,0.125,0.003,2.90486039171898e-80,"MMP28","Upregulated"
9.11899121297119e-84,3.71997426737442,0.817,0.193,3.05832727300628e-79,"A2M","Upregulated"
1.87218892070522e-83,4.74297581980144,0.442,0.049,6.27894720226115e-79,"ERG","Upregulated"
2.48011653684262e-82,6.25941970892051,0.258,0.015,8.31781484126277e-78,"SELE","Upregulated"
2.03568363167242e-81,5.54321293491271,0.525,0.075,6.82727576390295e-77,"SEMA3F","Upregulated"
