"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.83461984037985,0.888,0.075,0,"5","ESR1"
2.55490241279496e-266,3.82637822521782,0.354,0.019,8.56863171203172e-262,"5","AC025154.2"
0,3.81975734280517,0.448,0.018,0,"5","PGR"
1.88843248078295e-217,3.76939524682599,0.286,0.015,6.33342485404984e-213,"5","MYCNOS"
0,3.76122736465683,0.966,0.141,0,"5","MSX1"
0,3.72932357199248,0.945,0.235,0,"5","CTSV"
0,3.71829223676717,0.846,0.074,0,"5","NOV"
0,3.6544727526648,0.387,0.013,0,"5","CTNNA2"
0,3.64443828013376,0.419,0.016,0,"5","NSG1"
1.83449911089857e-261,3.64039050658583,0.305,0.012,6.15254311813162e-257,"5","SLC30A2"
0,11.4950157645171,0.277,0,0,"6","GZMA"
0,10.3978797260822,0.451,0.001,0,"6","CD3D"
0,9.33781555463426,0.44,0.002,0,"6","CD3E"
0,9.01779343559898,0.401,0.002,0,"6","CD2"
0,9.01752381353711,0.394,0.01,0,"6","NKG7"
0,8.98361810894996,0.333,0.003,0,"6","TRBC1"
0,8.94496563246082,0.298,0.002,0,"6","CD247"
0,8.79197771296807,0.264,0.002,0,"6","CD3G"
1.71441513244078e-307,8.76817529958291,0.266,0.004,5.7498054711799e-303,"6","CTSW"
0,8.55740597862,0.32,0.004,0,"6","TRAC"
0,8.479643502715,0.394,0.005,0,"6","CST7"
1.7997967863513e-213,7.97371400300788,0.259,0.012,6.03615846206498e-209,"6","GNLY"
1.31765079870116e-283,7.93751528942877,0.309,0.011,4.41913724868396e-279,"6","GZMM"
0,7.78382222253488,0.377,0.003,0,"6","TRBC2"
0,7.31850151026095,0.425,0.018,0,"6","CD7"
5.5032018440937e-176,7.24322712909427,0.275,0.02,1.84566383447215e-171,"6","LCK"
2.61060791251656e-179,6.90824660703334,0.257,0.016,8.75545681699805e-175,"6","CD96"
0,6.29668295582986,0.521,0.025,0,"6","IL7R"
4.02510230233822e-156,5.47810553371381,0.281,0.026,1.34993881015819e-151,"6","LTB"
5.4972238303595e-185,5.22902684881859,0.333,0.031,1.84365892822597e-180,"6","ARHGAP9"
4.37485093780338e-293,5.22099160202137,0.401,0.024,1.4672375075205e-288,"6","SPOCK2"
3.43744818942704e-203,5.10978263560703,0.481,0.071,1.15285137377004e-198,"6","RUNX3"
1.93471120273765e-53,4.91047622029596,0.29,0.088,6.48863443174154e-49,"6","RNF125"
4.82295165516691e-93,4.72658242885738,0.39,0.102,1.61752152610988e-88,"6","ACAP1"
7.97100771153079e-115,4.705961248379,0.316,0.051,2.6733165662932e-110,"6","GNG2"
0,15.8164641188383,0.875,0,0,"7","NKX6-2"
0,12.0277782358738,0.492,0,0,"7","TMEM235"
0,11.1760653228213,0.658,0.002,0,"7","NECAB1"
0,10.8956542414556,0.984,0.033,0,"7","PLP1"
0,10.7694907199906,0.388,0.001,0,"7","AL358216.1"
0,10.7345884988007,0.425,0.001,0,"7","OPALIN"
0,10.7040508221958,0.859,0.006,0,"7","CNDP1"
0,10.6813756052653,0.52,0.001,0,"7","SLC5A11"
0,10.5673305616315,0.797,0.005,0,"7","CARNS1"
0,10.3709197992993,0.848,0.004,0,"7","MOG"
0,10.2992475371362,0.711,0.004,0,"7","PEX5L"
0,10.251347225444,0.591,0.003,0,"7","HHATL"
0,9.90641337134462,0.732,0.002,0,"7","SLC24A2"
0,9.90094414398614,0.721,0.007,0,"7","HAPLN2"
0,9.80888535985813,0.917,0.025,0,"7","TF"
0,9.80161332589556,0.894,0.004,0,"7","MAG"
0,9.77426648416672,0.739,0.005,0,"7","MYRF"
0,9.73626846859284,0.432,0.003,0,"7","GPD1"
0,9.6779821136209,0.254,0,0,"7","AC009063.2"
0,9.2987994799531,0.852,0.008,0,"7","ERMN"
0,9.24413632501809,0.266,0.002,0,"7","CA14"
0,9.24290447181634,0.434,0.002,0,"7","GPR62"
0,9.22166292514023,0.628,0.003,0,"7","HHIP"
0,9.21420694532783,0.827,0.012,0,"7","TUBB4A"
0,9.08637787292861,0.808,0.006,0,"7","SPOCK3"
0,5.25881276706958,0.695,0.057,0,"8","CEACAM5"
0,4.90338570403018,0.667,0.037,0,"8","SDR16C5"
4.6971128488088e-53,4.65658413422465,0.262,0.059,1.57531770723349e-48,"8","TFF1"
0,4.20539164169081,0.715,0.064,0,"8","CAPN8"
1.54458687732756e-314,4.05466762586618,0.654,0.069,5.18023546918116e-310,"8","AC144450.1"
0,3.97168182468969,0.949,0.137,0,"8","GDF15"
0,3.88921120118693,0.903,0.108,0,"8","SNCG"
0,3.8468122376188,0.865,0.101,0,"8","RAB27B"
8.16784078955621e-193,3.83020424290119,0.483,0.06,2.73933044400136e-188,"8","AC009812.4"
1.12044051572542e-284,3.79363093611034,0.997,0.34,3.7577334016399e-280,"8","ZBTB10"
1.51654270518187e-181,3.78764746632721,0.27,0.015,5.08618092463896e-177,"8","CCDC68"
0,3.76104451891818,0.794,0.083,0,"8","KISS1R"
6.21059165461762e-116,3.70864285463156,0.257,0.026,2.08290822912566e-111,"8","GCNT3"
0,3.67277013971448,0.947,0.154,0,"8","AGR2"
1.22782694997709e-235,3.65030436239595,0.514,0.054,4.11788602483318e-231,"8","AC093001.1"
1.79903855267831e-165,3.63026616726292,0.318,0.027,6.03361549797253e-161,"8","AL033504.1"
0,3.62693099787629,0.786,0.088,0,"8","SLC7A2"
1.1541027759576e-264,3.62543996278475,0.567,0.061,3.8706298900066e-260,"8","LINC01607"
2.17388884170148e-322,3.54902315981976,1,0.242,7.29078839729844e-318,"8","GRB7"
2.56410041439086e-201,3.54654382923995,0.573,0.087,8.59947996978408e-197,"8","ONECUT2"
1.8758469332254e-142,3.46882519576982,0.364,0.045,6.29121544465136e-138,"8","HOXC6"
2.4732673381944e-259,3.42762415130276,0.621,0.075,8.29484399883638e-255,"8","ANKRD30A"
8.19391090232334e-276,3.41672617318674,0.705,0.1,2.7480738384212e-271,"8","GOLT1A"
1.53899152665291e-279,3.41097347957696,1,0.305,5.16146978208852e-275,"8","ERBB2"
0,3.40268538542865,0.977,0.113,0,"8","EEF1A2"
0,10.7680916862608,0.523,0.002,0,"9","TMEM190"
0,10.6162375649685,0.681,0.002,0,"9","C20orf85"
0,10.6019674628807,0.409,0.001,0,"9","CFAP299"
0,10.4485927915419,0.471,0.001,0,"9","FRMPD2"
0,10.2657123787095,0.424,0.001,0,"9","FAM216B"
0,9.85226061724085,0.348,0.002,0,"9","CFAP77"
0,9.77360456086949,0.67,0.004,0,"9","AL357093.2"
0,9.75227194096432,0.371,0.001,0,"9","PIH1D3"
0,9.46266858852475,0.465,0.003,0,"9","MAP3K19"
0,9.41553318737859,0.655,0.003,0,"9","FAM92B"
0,9.3564395973241,0.836,0.017,0,"9","ROPN1L"
0,9.3377166799886,0.491,0.003,0,"9","CFAP58"
