"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","category","neglog10p","neglog10p_plot"
1.28706788560491e-07,0.264406674217994,0.996,1,0.00431656827474175,"FTH1","FDR<0.05",6.89039854589586,6.89039854589586
1.35769831677138e-07,0.861581170375412,0.432,0.229,0.00455344861478786,"TAGAP","FDR<0.05",6.86719672042133,6.86719672042133
1.37012080375348e-07,0.579097767417491,0.82,0.667,0.00459511115162842,"RPL35A","FDR<0.05",6.86324113934683,6.86324113934683
1.4167720127412e-07,-0.49855452060499,0.981,0.984,0.00475156997633144,"MT-CO2","FDR<0.05",6.84870003089203,6.84870003089203
1.42613263721588e-07,0.947923333380957,0.403,0.213,0.00478296363869462,"NLRP3","FDR<0.05",6.84584008112359,6.84584008112359
1.48919793656021e-07,-3.66740957372041,0.017,0.1,0.00499447203963564,"LYVE1","FDR<0.01 & |log2FC|>1",6.82704757421374,6.82704757421374
1.5144413268499e-07,0.657043273430496,0.818,0.707,0.00507913332198919,"RPS15A","FDR<0.05",6.8197475476325,6.8197475476325
1.54788183490644e-07,0.928320668730123,0.498,0.297,0.00519128609790923,"EIF3F","FDR<0.05",6.81026219637073,6.81026219637073
1.62776364754238e-07,0.520194456914936,0.905,0.839,0.00545919372112764,"RPS12","FDR<0.05",6.78840865474162,6.78840865474162
1.69121944919435e-07,0.765870236006141,0.527,0.325,0.005672011788708,"EIF3G","FDR<0.05",6.77180003557756,6.77180003557756
1.81197921512687e-07,-1.44259752246743,0.314,0.466,0.00607701589169251,"S100A9","FDR<0.01 & |log2FC|>1",6.74184678834104,6.74184678834104
1.8750332434746e-07,0.424316156329601,0.977,0.936,0.00628848649196512,"TPT1","FDR<0.05",6.72699102802715,6.72699102802715
1.96097656329773e-07,0.624687045686942,0.835,0.703,0.00657672319798793,"RPL21","FDR<0.05",6.70752759679182,6.70752759679182
2.02266048225947e-07,-0.471384898189787,0.983,0.976,0.0067835987254018,"MT-CO3","FDR<0.05",6.69407701048468,6.69407701048468
2.14997807883123e-07,0.72730945224874,0.859,0.783,0.00721059648078416,"RPS27","FDR<0.05",6.6675659681268,6.6675659681268
2.21835795762547e-07,0.692125054099186,0.835,0.731,0.00743992891828429,"RPL26","FDR<0.05",6.6539683741119,6.6539683741119
2.40257338937123e-07,1.22835328022632,0.31,0.133,0.00805775063327323,"CD69","FDR<0.01 & |log2FC|>1",6.61932333743167,6.61932333743167
2.69037024476299e-07,0.533329467762667,0.905,0.831,0.00902296372688613,"H3F3B","FDR<0.05",6.5701879489222,6.5701879489222
2.74457397489999e-07,0.594608104236407,0.8,0.667,0.0092047521970196,"HLA-DQB1","FDR<0.05",6.56152505912252,6.56152505912252
3.1971576391263e-07,1.74062738219817,0.24,0.084,0.0107226272901018,"AC245014.3","FDR<0.05",6.49523594986692,6.49523594986692
3.27877491499997e-07,0.82548563313572,0.641,0.426,0.0109963553099269,"RGS10","FDR<0.05",6.48428839623967,6.48428839623967
